id,filtered_words_array,features,label_index
F048,"['difficult', 'might', 'who.', 'run', 'say', 'picture', 'enter', 'describe', 'role.', 'study', 'decide', 'final', 'west', 'win.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[266,503,1653,1712,2481,3892,3924,4224,5085,5850,5862,6436,6747,7085,7281,7435,7936,8293,8338,9808,9974],[4.830311739964974,0.691153161953081,3.914021008090819,4.019381523748645,3.8187108282864943,2.5530444549552183,4.137164559405029,4.42484663185681,3.914021008090819,0.691153161953081,3.8187108282864943,4.830311739964974,2.5530444549552183,4.019381523748645,0.6792718340663283,3.8187108282864943,0.691153161953081,4.830311739964974,0.691153161953081,4.270695952029551,4.830311739964974])",0.0
F082,"['bill', 'garden', 'leg', 'various', 'available', 'author.', 'customer', 'clearly', 'president', 'become', 'side.', 'goal', 'form', 'forget', 'inside', 'production', 'even.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[373,503,1306,1413,2475,3924,4377,5089,5621,5850,5936,6290,6647,7090,7146,7177,7281,7936,8135,8238,8338,8353,9066],[5.523458920524919,0.691153161953081,4.137164559405029,3.8187108282864943,4.607168188650764,4.137164559405029,2.60568818844064,3.6516567436233283,4.019381523748645,0.691153161953081,4.019381523748645,4.270695952029551,4.270695952029551,3.6516567436233283,4.019381523748645,4.830311739964974,0.6792718340663283,0.691153161953081,4.270695952029551,3.914021008090819,0.691153161953081,4.137164559405029,4.137164559405029])",0.0
F187,"['stock', 'poor', 'natural', 'phone', 'culture.', 'skin', 'particular', 'break', 'commercial', 'party', 'fill', 'partner.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,668,793,1256,1379,1626,4590,4988,5703,5833,5850,6443,7281,7860,7936,8103,8338,8984,9727],[0.691153161953081,3.914021008090819,4.42484663185681,3.125563647726549,3.8187108282864943,4.137164559405029,5.117993812416755,4.270695952029551,5.523458920524919,4.42484663185681,0.691153161953081,3.8187108282864943,0.6792718340663283,2.8154087194227095,0.691153161953081,4.42484663185681,0.691153161953081,4.270695952029551,4.42484663185681])",0.0
F027,"['believe', 'recently', 'stage', 'plant', 'collection', 'important', 'well.', 'lay', 'security', 'late', 'bad', 'clear', 'especially.', 'drop', 'listen', 'matter.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[30,429,503,533,1256,1611,1770,1967,2034,2634,3079,4475,5850,7244,7281,7860,7936,7956,7968,8209,8338,8577,8833],[4.137164559405029,3.8187108282864943,0.691153161953081,4.270695952029551,3.125563647726549,4.270695952029551,2.997730276216664,4.270695952029551,4.270695952029551,4.019381523748645,4.019381523748645,3.6516567436233283,0.691153161953081,3.6516567436233283,0.6792718340663283,2.8154087194227095,0.691153161953081,4.607168188650764,5.523458920524919,3.6516567436233283,0.691153161953081,4.607168188650764,5.117993812416755])",0.0
F202,"['talk', 'stop', 'unit', 'weight.', 'history', 'anything', 'thus', 'short', 'economy', 'accept.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[217,288,503,796,1262,1352,2114,4377,5684,5850,6335,6543,7281,7936,8338,8925],[3.8187108282864943,5.523458920524919,0.691153161953081,3.7316994512968646,3.7316994512968646,5.523458920524919,3.914021008090819,2.60568818844064,4.42484663185681,0.691153161953081,4.607168188650764,4.607168188650764,0.6792718340663283,0.691153161953081,0.691153161953081,4.607168188650764])",0.0
F197,"['key', 'lawyer', 'upon', 'particular.', 'six', 'region', 'set.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,3131,3892,5401,5767,5850,6735,6747,7281,7936,8159,8338,8633,9021],[0.691153161953081,4.019381523748645,2.5530444549552183,4.019381523748645,5.523458920524919,0.691153161953081,4.137164559405029,2.5530444549552183,0.6792718340663283,0.691153161953081,3.4440173788450834,0.691153161953081,4.830311739964974,4.019381523748645])",0.0
R128,"['prevent', 'scene', 'first', 'lawyer', 'word', 'factor.', 'number', 'apply.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[821,1392,2059,3252,3519,3614,4506,4687,5416,5844,6403,8519,9021,9462],[2.849310271098391,5.117993812416755,2.6330871626287546,4.137164559405029,3.914021008090819,0.691153161953081,0.691153161953081,0.691153161953081,4.830311739964974,3.914021008090819,3.914021008090819,4.607168188650764,4.019381523748645,0.691153161953081])",1.0
F157,"['probably', 'cup', 'final', 'cause', 'culture', 'history.', 'throughout', 'professor', 'personal', 'contain', 'throw', 'also.', 'accept', 'one', 'sell.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[316,503,815,1310,1653,2259,2297,2543,2657,3059,5850,5948,7281,7424,7493,7936,7939,8121,8325,8338,8645,9813],[4.830311739964974,0.691153161953081,4.830311739964974,5.117993812416755,3.914021008090819,2.8154087194227095,4.42484663185681,3.6516567436233283,3.4440173788450834,5.117993812416755,0.691153161953081,4.270695952029551,0.6792718340663283,5.117993812416755,3.6516567436233283,0.691153161953081,3.8187108282864943,4.830311739964974,4.830311739964974,0.691153161953081,4.42484663185681,2.997730276216664])",0.0
F117,"['stay', 'accept', 'ahead', 'former', 'glass', 'instead.', 'parent', 'federal', 'dream', 'order.', 'throughout', 'kitchen', 'middle', 'ability.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[226,433,503,633,756,1955,2366,2657,4160,4377,5564,5850,5948,6932,7281,7936,8268,8338,9878,9932],[5.523458920524919,4.830311739964974,0.691153161953081,4.019381523748645,4.607168188650764,5.523458920524919,3.914021008090819,3.4440173788450834,4.137164559405029,2.60568818844064,4.830311739964974,0.691153161953081,4.270695952029551,3.914021008090819,0.6792718340663283,0.691153161953081,4.42484663185681,0.691153161953081,4.270695952029551,4.019381523748645])",0.0
F173,"['agent', 'step', 'fine', 'character', 'special', 'fill.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[453,503,1055,1558,3892,4867,5016,5850,6431,6747,7281,7936,8338],[4.019381523748645,0.691153161953081,5.117993812416755,4.019381523748645,2.5530444549552183,4.607168188650764,4.270695952029551,0.691153161953081,4.019381523748645,2.5530444549552183,0.6792718340663283,0.691153161953081,0.691153161953081])",0.0
F024,"['time', 'control', 'family', 'affect.', 'box', 'second', 'heavy', 'expect', 'add', 'second', 'these.', 'add', 'bill', 'voice', 'daughter', 'page.', 'note', 'course', 'hour', 'season', 'east.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,527,650,1167,1208,2358,3530,3652,3691,3813,5678,5692,5850,7281,7623,7922,7936,8135,8157,8297,8338,8949,9256,9887,9909],[0.691153161953081,4.830311739964974,2.958509563063383,4.830311739964974,2.849310271098391,4.607168188650764,4.137164559405029,3.577548771469606,4.42484663185681,4.607168188650764,4.607168188650764,4.607168188650764,0.691153161953081,0.6792718340663283,4.270695952029551,3.6516567436233283,0.691153161953081,4.270695952029551,4.607168188650764,4.42484663185681,0.691153161953081,4.42484663185681,7.463398902593729,8.84969326371362,3.914021008090819])",0.0
F096,"['fire', 'among', 'point', 'small.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[503,3445,3486,4416,4921,5191,5850,7281,7362,7936,8338],[0.691153161953081,4.607168188650764,2.849310271098391,4.270695952029551,2.849310271098391,4.019381523748645,0.691153161953081,0.6792718340663283,4.270695952029551,0.691153161953081,0.691153161953081])",0.0
R247,"['protect', 'hundred', 'treatment', 'live', 'determine', 'week.', 'wait', 'also', 'become', 'face', 'quality', 'weight', 'contain.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[493,1770,2302,3292,3506,3614,3792,4034,4506,4687,5175,5477,6219,7090,7235,7734,8004,8015,9462],[4.830311739964974,2.997730276216664,5.117993812416755,5.117993812416755,4.607168188650764,0.691153161953081,3.914021008090819,4.270695952029551,0.691153161953081,0.691153161953081,3.914021008090819,4.270695952029551,3.172083663361442,3.6516567436233283,4.42484663185681,4.270695952029551,3.6516567436233283,5.117993812416755,0.691153161953081])",1.0
F226,"['catch', 'mrs', 'quite', 'body.', 'economic', 'nation', 'song', 'store', 'table.', 'information', 'anyone', 'painting', 'role', 'current', 'miss.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,666,1034,2259,3350,4014,5726,5850,6056,6404,6961,7184,7281,7350,7936,7949,8190,8338,9144,9189,9751,9813],[0.691153161953081,4.42484663185681,3.8187108282864943,2.8154087194227095,4.607168188650764,4.42484663185681,3.6516567436233283,0.691153161953081,3.914021008090819,4.607168188650764,5.117993812416755,3.8187108282864943,0.6792718340663283,4.137164559405029,0.691153161953081,4.019381523748645,4.137164559405029,0.691153161953081,2.455405985391302,4.270695952029551,4.830311739964974,2.997730276216664])",0.0
F100,"['half', 'phone', 'contain', 'right.', 'item', 'short', 'great', 'tend', 'agency', 'despite', 'room.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']","(10000,[503,750,765,1262,1301,1626,1780,1810,1916,2366,2660,2918,5850,7281,7493,7936,8338,9676],[0.691153161953081,4.42484663185681,4.270695952029551,3.7316994512968646,5.117993812416755,4.137164559405029,4.607168188650764,4.270695952029551,4.830311739964974,3.914021008090819,4.830311739964974,3.0385522707369192,0.691153161953081,0.6792718340663283,3.6516567436233283,0.691153161953081,0.691153161953081,3.0385522707369192])",0.0
F246,"['sign', 'peace', 'mrs', 'gun', 'create', 'buy.', 'contain', 'heart', 'little', 'professor', 'lay', 'woman', 'turn', 'across.', 'spring', 'far', 'full', 'food', 'share', 'instead', 'occur.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,526,1404,1590,1644,2259,2516,2543,3886,3947,4158,4475,4527,4563,5627,5850,6697,6756,7281,7493,7936,8313,8338,8653,8897,9751,9808,9813],[0.691153161953081,5.523458920524919,4.607168188650764,4.42484663185681,4.019381523748645,2.8154087194227095,4.607168188650764,3.6516567436233283,3.914021008090819,4.42484663185681,4.137164559405029,3.6516567436233283,4.270695952029551,4.137164559405029,4.607168188650764,0.691153161953081,4.137164559405029,3.8187108282864943,0.6792718340663283,3.6516567436233283,0.691153161953081,4.019381523748645,0.691153161953081,4.607168188650764,4.019381523748645,4.830311739964974,4.270695952029551,2.997730276216664])",0.0
F183,"['effect', 'form', 'within', 'bank', 'whether.', 'child', 'beautiful', 'beyond', 'common.', 'painting', 'firm', 'raise', 'debate', 'head.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1034,1273,3527,3593,3744,5621,5850,6324,6547,7244,7281,7936,8276,8338,8894,8900,8982,9817],[0.691153161953081,2.958509563063383,3.8187108282864943,3.6516567436233283,4.607168188650764,5.523458920524919,5.117993812416755,4.019381523748645,0.691153161953081,4.019381523748645,5.523458920524919,3.6516567436233283,0.6792718340663283,0.691153161953081,4.019381523748645,0.691153161953081,4.42484663185681,4.137164559405029,3.8187108282864943,3.4440173788450834])",0.0
R063,"['box', 'although', 'party', 'back', 'owner', 'generation', 'air.', 'also', 'sometimes', 'turn', 'summer.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1379,1918,2191,3614,3792,3886,4506,4687,5869,6053,6944,6963,7779,7922,8430,9462],[3.8187108282864943,5.117993812416755,4.607168188650764,0.691153161953081,3.914021008090819,3.914021008090819,0.691153161953081,0.691153161953081,4.270695952029551,3.914021008090819,2.8154087194227095,4.019381523748645,3.125563647726549,3.6516567436233283,4.42484663185681,0.691153161953081])",1.0
R005,"['material', 'open', 'sort', 'bar', 'stage', 'pass', 'miss.', 'scientist', 'administration', 'drive', 'rise', 'despite.', 'travel', 'recognize', 'poor', 'probably', 'challenge', 'cold.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[30,1630,2297,3231,3556,3614,4330,4506,4687,4816,5185,5720,5783,5935,6226,6325,6961,7332,8103,8171,8392,8681,9462],[4.137164559405029,5.117993812416755,4.42484663185681,3.914021008090819,2.8844015909096608,0.691153161953081,4.830311739964974,0.691153161953081,0.691153161953081,3.914021008090819,4.270695952029551,5.523458920524919,4.607168188650764,4.137164559405029,4.019381523748645,3.8187108282864943,5.117993812416755,4.270695952029551,4.42484663185681,4.607168188650764,4.42484663185681,4.270695952029551,0.691153161953081])",1.0
R084,"['surface', 'law', 'student.', 'beyond', 'watch', 'stand', 'affect', 'loss.', 'home', 'give', 'name', 'value', 'check.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[15,690,1099,2708,3365,3556,3614,3783,3979,4506,4687,6055,6886,7281,7403,8900,9394,9462],[3.7316994512968646,5.523458920524919,4.42484663185681,3.4440173788450834,4.42484663185681,2.8844015909096608,0.691153161953081,5.117993812416755,3.914021008090819,0.691153161953081,0.691153161953081,4.830311739964974,4.019381523748645,0.6792718340663283,4.607168188650764,4.137164559405029,4.830311739964974,0.691153161953081])",1.0
R124,"['radio', 'although', 'act.', 'less', 'big', 'detail', 'civil', 'fast', 'fast.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[593,1143,1195,2141,3048,3614,4506,4687,4831,5047,7779,9086,9263,9462],[4.137164559405029,4.137164559405029,3.6516567436233283,5.117993812416755,4.019381523748645,0.691153161953081,0.691153161953081,0.691153161953081,4.607168188650764,2.7200985396183848,3.125563647726549,4.137164559405029,3.8187108282864943,0.691153161953081])",1.0
R118,"['manager', 'budget', 'one', 'summer', 'clear.', 'individual', 'several', 'cut', 'standard', 'create.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[815,1206,1401,1652,2967,3614,4506,4687,4991,6808,7066,8614,9227,9462,9481],[4.830311739964974,4.607168188650764,4.830311739964974,4.270695952029551,4.137164559405029,0.691153161953081,0.691153161953081,0.691153161953081,2.60568818844064,5.523458920524919,2.8844015909096608,4.137164559405029,4.607168188650764,0.691153161953081,5.117993812416755])",1.0
F001,"['real', 'speech', 'expert', 'nice', 'customer', 'war.', 'full', 'store', 'where.', 'different', 'reveal', 'trip', 'wind', 'discover', 'occur', 'against.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[502,503,650,914,1413,1507,1921,2558,3370,4170,4522,5417,5782,5850,6683,6749,7184,7281,7936,8338,8897,9691],[3.914021008090819,0.691153161953081,2.958509563063383,4.137164559405029,3.8187108282864943,3.8187108282864943,4.42484663185681,4.270695952029551,4.270695952029551,4.607168188650764,4.607168188650764,5.117993812416755,4.270695952029551,0.691153161953081,4.270695952029551,5.523458920524919,3.8187108282864943,0.6792718340663283,0.691153161953081,0.691153161953081,4.019381523748645,4.42484663185681])",0.0
F007,"['happen', 'challenge', 'short', 'out.', 'goal', 'area', 'every', 'free.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[503,1262,2066,4391,4704,5089,5649,5778,5850,5935,7281,7936,8338,9681,9876],[0.691153161953081,3.7316994512968646,2.7508701982851385,5.117993812416755,4.270695952029551,3.6516567436233283,4.270695952029551,4.830311739964974,0.691153161953081,4.137164559405029,0.6792718340663283,0.691153161953081,0.691153161953081,3.914021008090819,2.7508701982851385])",0.0
F046,"['relate', 'particular', 'condition', 'mission', 'lay.', 'exactly', 'election', 'parent.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[132,503,899,988,1208,2096,3184,5328,5850,6069,7281,7936,7958,8338,8984],[4.270695952029551,0.691153161953081,5.523458920524919,4.137164559405029,2.849310271098391,4.019381523748645,2.8154087194227095,3.6516567436233283,0.691153161953081,4.42484663185681,0.6792718340663283,0.691153161953081,5.117993812416755,0.691153161953081,4.270695952029551])",0.0
R103,"['management', 'southern', 'window', 'free', 'stage.', 'foot', 'listen', 'reveal', 'field', 'pattern', 'money', 'range.', 'source', 'western', 'tough', 'quite.', 'wall', 'clear', 'debate', 'develop', 'choose', 'may.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[429,524,617,1073,1209,1241,1507,1611,2403,3614,3743,4506,4687,5447,6103,6404,6572,6643,7066,7074,7721,7890,8276,8878,9462,9706],[3.8187108282864943,3.8187108282864943,3.8187108282864943,4.137164559405029,4.019381523748645,7.637421656572989,3.8187108282864943,4.270695952029551,4.137164559405029,0.691153161953081,4.270695952029551,0.691153161953081,0.691153161953081,3.577548771469606,4.137164559405029,4.607168188650764,5.117993812416755,5.523458920524919,2.8844015909096608,3.577548771469606,4.607168188650764,4.270695952029551,4.019381523748645,4.830311739964974,0.691153161953081,3.914021008090819])",1.0
R037,"['investment', 'effort', 'visit.', 'show', 'good', 'involve', 'bag.', 'next', 'free', 'impact.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']","(10000,[371,1073,1562,3614,4019,4506,4687,4991,5324,5432,5726,5891,6168,6271,8273,9462],[5.523458920524919,4.137164559405029,4.42484663185681,0.691153161953081,4.019381523748645,0.691153161953081,0.691153161953081,2.60568818844064,4.830311739964974,2.7200985396183848,3.6516567436233283,4.137164559405029,3.914021008090819,4.270695952029551,3.914021008090819,0.691153161953081])",1.0
F193,"['space', 'rather', 'garden', 'work', 'project', 'experience.', 'spring', 'pass', 'million', 'big', 'return', 'possible', 'write.', 'rate', 'thank', 'everyone', 'rich', 'write.', 'toward', 'cover', 'eye', 'environment', 'attention', 'across.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[253,503,635,1341,1644,1687,2072,2230,2407,2837,3048,3144,3194,3892,5627,5850,5936,6100,6104,6212,6747,7281,7936,8338,8392,8651,8893,9188,9527,9593],[4.137164559405029,0.691153161953081,3.8187108282864943,4.270695952029551,4.019381523748645,4.137164559405029,5.523458920524919,4.607168188650764,3.914021008090819,4.019381523748645,4.019381523748645,4.830311739964974,4.42484663185681,2.5530444549552183,4.607168188650764,0.691153161953081,4.019381523748645,4.42484663185681,4.137164559405029,3.914021008090819,2.5530444549552183,0.6792718340663283,0.691153161953081,0.691153161953081,4.42484663185681,4.137164559405029,4.137164559405029,4.019381523748645,4.270695952029551,9.660623479929948])",0.0
R166,"['sign', 'water', 'firm', 'happen', 'pass.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[2589,3556,3614,4506,4687,4704,6756,8171,8894,9462],[3.914021008090819,2.8844015909096608,0.691153161953081,0.691153161953081,0.691153161953081,4.270695952029551,3.8187108282864943,4.607168188650764,4.42484663185681,0.691153161953081])",1.0
F017,"['chair', 'social', 'fast', 'contain', 'interesting', 'school', 'move.', 'leg', 'seek', 'operation', 'fire', 'speak.', 'feeling', 'stage', 'back', 'goal', 'represent', 'modern', 'lead.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[30,171,503,613,681,823,2066,2336,2679,3634,5089,5191,5750,5760,5850,5922,6290,7281,7386,7493,7936,8338,8430,8717,9263,9876],[4.137164559405029,4.607168188650764,0.691153161953081,4.019381523748645,4.607168188650764,4.42484663185681,2.7508701982851385,3.7316994512968646,4.137164559405029,4.607168188650764,3.6516567436233283,4.019381523748645,4.830311739964974,4.830311739964974,0.691153161953081,4.42484663185681,4.270695952029551,0.6792718340663283,5.117993812416755,3.6516567436233283,0.691153161953081,0.691153161953081,4.42484663185681,4.42484663185681,3.8187108282864943,2.7508701982851385])",0.0
R008,"['bar', 'cut', 'section', 'food', 'relationship', 'apply.', 'newspaper', 'structure', 'bad', 'item.', 'experts', 'discuss', 'ongoing', 'developments', 'economic', 'growth.']","(10000,[1206,1392,2996,3238,3614,4260,4506,4687,6968,7299,7332,7956,8653,9034,9144,9462],[4.607168188650764,5.117993812416755,3.6516567436233283,4.270695952029551,0.691153161953081,4.270695952029551,0.691153161953081,0.691153161953081,4.830311739964974,5.523458920524919,4.270695952029551,4.607168188650764,4.607168188650764,2.849310271098391,2.455405985391302,0.691153161953081])",1.0
